Marque;Ligne / Série;Vitole;Format;Dimensions;Dimensions (mm);Lenght;Ring;Qté/boîte;Puissance;Pays;Note;CA Top25;Année
Bolívar;Cuban Line;Belicoso Fino;Figurado;5½ × 52;140 × 20,6;5½;52;25;🔥🔥🔥🔥🔥;Cuba;95;4;2017
Cohiba;Siglo Series;Siglo VI;Toro;5⅞ × 52;150 × 20,6;5⅞;52;25;🔥🔥🔥🔥;Cuba;94;8;2021
Cohiba;Maduro 5;Mágicos;Robusto court;4½ × 52;115 × 20,6;4½;52;10;🔥🔥🔥🔥;Cuba;95;8;2024
Partagás;Serie D Line;No.4;Robusto;4⅞ × 50;124 × 19,8;4⅞;50;25;🔥🔥🔥;Cuba;94;4;2021
Partagás;Classic Line;Lusitanias;Double Corona;7⅝ × 49;194 × 19,8;7⅝;49;25;🔥🔥🔥;Cuba;93;11;2017
H. Upmann;Classic Line;No.2;Piramides;6⅛ × 52;156 × 20,6;6⅛;52;25;🔥🔥🔥;Cuba;98;1;2022
H. Upmann;Magnum Line;56;Toro;5⅞ × 56;150 × 22,2;5⅞;56;25;🔥🔥🔥;Cuba;92;—;2024
Montecristo;Classic Line;No.2;Torpedo;6⅛ × 52;156 × 20,6;6⅛;52;25;🔥🔥🔥🔥;Cuba;96;1;2013
Romeo y Julieta;Churchill Series;Wide Churchill;Robusto Extra;5⅛ × 55;130 × 20,6;5⅛;55;25;🔥🔥🔥;Cuba;93;15;2024
Hoyo de Monterrey;Epicure Line;Epicure No.1;Toro;5⅝ × 46 ;143 × 18,3;5⅝;46;25;🔥🔥🔥;Cuba;93;—;2022
Punch;Cuban Line;Short de Punch;Robusto;4¾ × 50;121 × 19,8;4¾;50;10;🔥🔥🔥;Cuba;95;5;2020
Bolívar;Cuban Line;Royal Corona;Robusto;4⅞ × 50;124 × 19,8;4⅞;50;25;🔥🔥🔥🔥;Cuba;94;21;2013
