row_kind;sku;source_sku;type;cigar_id;component_cigar_id;component_sku;component_qty;brand;line;vitole_ou_bundle;cigars_per_unit;held_units;deposit_units;pairing_method;source_doctrine;note
SKU_CIGAR_ID;CTGHO0001;;Pack;CTG000001;;;;Bolivar;Cofradia N° 654;Toro;5;2;0;single_form;Master CATALOG;
SKU_CIGAR_ID;CTGNI0001;;Box;CTG000002;;;;CAO;Flathead Big;V770 Gigante;24;0;0;single_form;Master CATALOG;
SKU_CIGAR_ID;CTGNI0003;;Pack;CTG000003;;;;My Father;Jaime Garcia RE;Gordo;4;2;0;single_form;Master CATALOG;
SKU_CIGAR_ID;CTGNI0004;;Box;CTG000004;;;;My Father;Jaime Garcia RE;Gigante (Gordo Extra);14;0;0;single_form;Master CATALOG;
SKU_CIGAR_ID;CTGNI0005;;Pack;CTG000005;;;;My Father;Jaime Garcia RE;Super Gordo;4;5;0;single_form;Master CATALOG;
SKU_CIGAR_ID;CTGNI0006;;Pack;CTG000006;;;;My Father;Jaime Garcia RE;Toro;5;1;0;single_form;Master CATALOG;
SKU_CIGAR_ID;CTGNI0007;;Pack;CTG000007;;;;La Aroma de Cuba;Mi Amor;Belicoso;5;2;0;single_form;Master CATALOG;
SKU_CIGAR_ID;CTGNI0008;;Pack;CTG000008;;;;La Aroma de Cuba;Monarch;Toro;5;0;0;single_form;Master CATALOG;9.1: solde final inclut 3 Loose déjà implicites — voir ligne Type=Loose dédiée ci-dessous
SKU_CIGAR_ID;CTGNI0008;;Loose;CTG000008;;;;La Aroma de Cuba;Monarch;Toro;;3;0;;9.1;Loose implicite pré-existant côté Master (10_Pack Allocation) — solde d'ouverture à intégrer tel quel en migration, jamais traité comme preuve de disponibilité Pack/Box
SKU_CIGAR_ID;CTGNI0009;;Box;CTG000009;;;;Montecristo;Nicaragua;Churchill;20;1;0;single_form;Master CATALOG;
SKU_CIGAR_ID;CTGNI0010;;Pack;CTG000010;;;;Montecristo;1935 Anniversary Nicaragua;N°2 Figurado;5;3;0;single_form;Master CATALOG;
SKU_CIGAR_ID;CTGNI0011;;Box;CTG000011;;;;My Father;Le Bijou 1922;Grand Robusto;23;1;0;single_form;Master CATALOG;
