legacy_sku,new_sku,legacy_type,verified_present_in_final_master,migration_rule
CTGBDL001,CTCG-BDL-000001,Coffret Fabricant,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGBDL002,CTCG-BDL-000002,Coffret Fabricant,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGBDL003,CTCG-BDL-000003,Coffret Fabricant,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGBDL004,CTCG-BDL-000004,Coffret Composite,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGBDL005,CTCG-BDL-000005,Coffret Composite,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGBDL006,CTCG-BDL-000006,Coffret Composite,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGBDL007,CTCG-BDL-000007,Coffret Composite,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGCU0001,CTCG-CU-000001,Boîte,YES,Nouveau mapping validé par Claudel (27 SKU sans équivalent, 20260822) -- ligne cubaine, préfixe CU nouveau; kind=CIGAR confirmé en base, type stock non revérifié indépendamment (champ documentaire).
CTGCU0002,CTCG-CU-000002,Boîte,YES,Nouveau mapping validé par Claudel (27 SKU sans équivalent, 20260822) -- ligne cubaine, préfixe CU nouveau; kind=CIGAR confirmé en base, type stock non revérifié indépendamment (champ documentaire).
CTGCU0003,CTCG-CU-000003,Boîte,YES,Nouveau mapping validé par Claudel (27 SKU sans équivalent, 20260822) -- ligne cubaine, préfixe CU nouveau; kind=CIGAR confirmé en base, type stock non revérifié indépendamment (champ documentaire).
CTGCU0004,CTCG-CU-000004,Boîte,YES,Nouveau mapping validé par Claudel (27 SKU sans équivalent, 20260822) -- ligne cubaine, préfixe CU nouveau; kind=CIGAR confirmé en base, type stock non revérifié indépendamment (champ documentaire).
CTGCU0005,CTCG-CU-000005,Boîte,YES,Nouveau mapping validé par Claudel (27 SKU sans équivalent, 20260822) -- ligne cubaine, préfixe CU nouveau; kind=CIGAR confirmé en base, type stock non revérifié indépendamment (champ documentaire).
CTGCU0006,CTCG-CU-000006,Boîte,YES,Nouveau mapping validé par Claudel (27 SKU sans équivalent, 20260822) -- ligne cubaine, préfixe CU nouveau; kind=CIGAR confirmé en base, type stock non revérifié indépendamment (champ documentaire).
CTGCU0007,CTCG-CU-000007,Boîte,YES,Nouveau mapping validé par Claudel (27 SKU sans équivalent, 20260822) -- ligne cubaine, préfixe CU nouveau; kind=CIGAR confirmé en base, type stock non revérifié indépendamment (champ documentaire).
CTGCU0008,CTCG-CU-000008,Boîte,YES,Nouveau mapping validé par Claudel (27 SKU sans équivalent, 20260822) -- ligne cubaine, préfixe CU nouveau; kind=CIGAR confirmé en base, type stock non revérifié indépendamment (champ documentaire).
CTGCU0009,CTCG-CU-000009,Boîte,YES,Nouveau mapping validé par Claudel (27 SKU sans équivalent, 20260822) -- ligne cubaine, préfixe CU nouveau; kind=CIGAR confirmé en base, type stock non revérifié indépendamment (champ documentaire).
CTGCU0010,CTCG-CU-000010,Boîte,YES,Nouveau mapping validé par Claudel (27 SKU sans équivalent, 20260822) -- ligne cubaine, préfixe CU nouveau; kind=CIGAR confirmé en base, type stock non revérifié indépendamment (champ documentaire).
CTGCU0011,CTCG-CU-000011,Boîte,YES,Nouveau mapping validé par Claudel (27 SKU sans équivalent, 20260822) -- ligne cubaine, préfixe CU nouveau; kind=CIGAR confirmé en base, type stock non revérifié indépendamment (champ documentaire).
CTGCU0012,CTCG-CU-000012,Boîte,YES,Nouveau mapping validé par Claudel (27 SKU sans équivalent, 20260822) -- ligne cubaine, préfixe CU nouveau; kind=CIGAR confirmé en base, type stock non revérifié indépendamment (champ documentaire).
CTGCU0013,CTCG-CU-000013,Boîte,YES,Nouveau mapping validé par Claudel (27 SKU sans équivalent, 20260822) -- ligne cubaine, préfixe CU nouveau; kind=CIGAR confirmé en base, type stock non revérifié indépendamment (champ documentaire).
CTGCU0014,CTCG-CU-000014,Boîte,YES,Nouveau mapping validé par Claudel (27 SKU sans équivalent, 20260822) -- ligne cubaine, préfixe CU nouveau; kind=CIGAR confirmé en base, type stock non revérifié indépendamment (champ documentaire).
CTGCU0015,CTCG-CU-000015,Boîte,YES,Nouveau mapping validé par Claudel (27 SKU sans équivalent, 20260822) -- ligne cubaine, préfixe CU nouveau; kind=CIGAR confirmé en base, type stock non revérifié indépendamment (champ documentaire).
CTGHO0001,CTCG-HO-000001,Pack,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGNI0001,CTCG-NI-000001,Boîte,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGNI0002,CTCG-NI-000002,Boîte,YES,Nouveau mapping validé par Claudel (27 SKU sans équivalent, 20260822) -- numéro legacy conservé; kind=CIGAR confirmé en base, type stock non revérifié indépendamment (champ documentaire).
CTGNI0003,CTCG-NI-000003,Pack,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGNI0004,CTCG-NI-000004,Boîte,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
CTGNI0005,CTCG-NI-000005,Pack,YES,Exact mapping; update all FK/hardcoded references in same controlled migration.
