order_item_id,order_id,item_type,item_sku,source_item_type,brand,series,vitole,quantity,allocated_unit_revenue_xaf,allocated_line_revenue_xaf,standard_unit_cost_xaf,standard_line_cost_xaf,actual_line_cost_xaf,cost_variance_vs_standard_xaf,line_note,order_type,source_system,source_record_id,source_sheet,source_row
CTCG-SALE-000001-L01,CTCG-SALE-000001,PRODUCT,CTCG-NI-000027,Boîte,Oliva,Serie V Melanio Maduro,Toro,1,172083,172083,69083.48320511375,69083.48320511375,69083.48320511375,0.0,Boîte Oliva Melanio Maduro Toro,Cadeau,MASTER_GESTION,CTCG-SALE-000001-M2,12_Mouvements,2
CTCG-SALE-000001-L02,CTCG-SALE-000001,ACCESSORY,CTCG-ACC-CUT,Accessoire,Divers,Coupe-cigare,,1,15000,15000,7642.400000000001,7642.400000000001,7642.400000000001,0.0,,Cadeau,MASTER_GESTION,CTCG-SALE-000001-M3,12_Mouvements,3
CTCG-SALE-000001-L03,CTCG-SALE-000001,ACCESSORY,CTCG-ACC-ETU,Accessoire,Divers,Étui,,1,16667,16667,9021.366666666667,9021.366666666667,9021.366666666667,0.0,,Cadeau,MASTER_GESTION,CTCG-SALE-000001-M4,12_Mouvements,4
CTCG-SALE-000001-L04,CTCG-SALE-000001,ACCESSORY,CTCG-ACC-BRI,Accessoire,Hilands,Briquet,,1,5000,5000,0,0.0,0,0.0,,Cadeau,MASTER_GESTION,CTCG-SALE-000001-M5,12_Mouvements,5
CTCG-SALE-000001-L05,CTCG-SALE-000001,ACCESSORY,CTCG-ACC-CEN,Accessoire,Divers,Cendrier,,1,21250,21250,7614.724999999999,7614.724999999999,7614.724999999999,0.0,,Cadeau,MASTER_GESTION,CTCG-SALE-000001-M6,12_Mouvements,6
CTCG-SALE-000001-L06,CTCG-SALE-000001,SERVICE,CTCG-SRV-PER,Service,CitiCigars,Personnalisation,,1,10000,10000,5000,5000.0,5000,0.0,,Cadeau,MASTER_GESTION,CTCG-SALE-000001-M7,12_Mouvements,7
CTCG-SALE-000001-L07,CTCG-SALE-000001,SERVICE,CTCG-SRV-SAC,Service,CitiCigars,Sac cadeau / emballage,,1,10000,10000,2000,2000.0,2000,0.0,,Cadeau,MASTER_GESTION,CTCG-SALE-000001-M8,12_Mouvements,8
CTCG-SALE-000002-L01,CTCG-SALE-000002,PRODUCT,CTCG-NI-000004,Boîte,My Father,Jaime Garcia RE,Gigante (Gordo Extra),1,224000,224000,124863.1093167385,124863.1093167385,124863.1093167385,0.0,,Vente,MASTER_GESTION,CTCG-SALE-000002-M9,12_Mouvements,9
CTCG-SALE-000004-L01,CTCG-SALE-000004,PRODUCT,CTCG-NI-000025,Boîte,Oliva,Serie V Melanio,Toro,1,135000,135000,75743.73706918836,75743.73706918836,75743.73706918836,0.0,VVIP — boîte Oliva Melanio Toro,Cadeau,MASTER_GESTION,CTCG-SALE-000004-M11,12_Mouvements,11
CTCG-SALE-000004-L02,CTCG-SALE-000004,ACCESSORY,CTCG-ACC-CUT,Accessoire,Divers,Coupe-cigare,,1,15000,15000,7642.400000000001,7642.400000000001,7642.400000000001,0.0,VVIP,Cadeau,MASTER_GESTION,CTCG-SALE-000004-M12,12_Mouvements,12
